infinitivo,ending,pensyl,stem,pronoun,tense,mood,class_suff,class_pensyl,conjugacion
agregar,ar,&gamma.re,&gamma.,nosotros,2,0,aríamos,0,agregaríamos
agregar,ar,&gamma.re,&gamma.,vosotros,2,0,aríais,0,agregaríais
agregar,ar,&gamma.re,&gamma.,ellos,2,0,arían,0,agregarían
agregar,ar,&gamma.re,&gamma.,yo,0,1,ue,0,agregue
agregar,ar,&gamma.re,&gamma.,tu,0,1,ues,0,agregues
agregar,ar,&gamma.re,&gamma.,el,0,1,ue,0,agregue
agregar,ar,&gamma.re,&gamma.,nosotros,0,1,uemos,0,agreguemos
agregar,ar,&gamma.re,&gamma.,vosotros,0,1,uéis,0,agreguéis
agregar,ar,&gamma.re,&gamma.,ellos,0,1,uen,0,agreguen
agregar,ar,&gamma.re,&gamma.,yo,1,1,ara,0,agregara
agregar,ar,&gamma.re,&gamma.,tu,1,1,aras,0,agregaras
agregar,ar,&gamma.re,&gamma.,el,1,1,ara,0,agregara
agregar,ar,&gamma.re,&gamma.,nosotros,1,1,áramos,0,agregáramos
agregar,ar,&gamma.re,&gamma.,vosotros,1,1,arais,0,agregarais
agregar,ar,&gamma.re,&gamma.,ellos,1,1,aran,0,agregaran
agregar,ar,&gamma.re,&gamma.,yo,1,1,are,0,agregare
agregar,ar,&gamma.re,&gamma.,tu,1,1,ares,0,agregares
agregar,ar,&gamma.re,&gamma.,el,1,1,are,0,agregare
agregar,ar,&gamma.re,&gamma.,nosotros,1,1,áremos,0,agregáremos
agregar,ar,&gamma.re,&gamma.,vosotros,1,1,areis,0,agregareis
agregar,ar,&gamma.re,&gamma.,ellos,1,1,aren,0,agregaren
agregar,ar,&gamma.re,&gamma.,tu,0,2,a,0,agrega
agregar,ar,&gamma.re,&gamma.,nosotros,0,2,uemos,0,agreguemos
agregar,ar,&gamma.re,&gamma.,vosotros,0,2,ad,0,agregad
admirar,ar,mi,r,yo,0,0,o,0,admiro
admirar,ar,mi,r,tu,0,0,as,0,admiras
admirar,ar,mi,r,el,0,0,a,0,admira
admirar,ar,mi,r,nosotros,0,0,amos,0,admiramos
admirar,ar,mi,r,vosotros,0,0,áis,0,admiráis
admirar,ar,mi,r,ellos,0,0,an,0,admiran
admirar,ar,mi,r,yo,1,0,aba,0,admiraba
admirar,ar,mi,r,tu,1,0,abas,0,admirabas
admirar,ar,mi,r,el,1,0,aba,0,admiraba
admirar,ar,mi,r,nosotros,1,0,ábamos,0,admirábamos
admirar,ar,mi,r,vosotros,1,0,abais,0,admirabais
admirar,ar,mi,r,ellos,1,0,aban,0,admiraban
admirar,ar,mi,r,yo,2,0,é,0,admiré
admirar,ar,mi,r,tu,2,0,aste,0,admiraste
admirar,ar,mi,r,el,2,0,ó,0,admiró
admirar,ar,mi,r,nosotros,2,0,amos,0,admiramos
admirar,ar,mi,r,vosotros,2,0,asteis,0,admirasteis
admirar,ar,mi,r,ellos,2,0,aron,0,admiraron
admirar,ar,mi,r,yo,1,0,aré,0,admiraré
admirar,ar,mi,r,tu,1,0,arás,0,admirarás
admirar,ar,mi,r,el,1,0,ará,0,admirará
admirar,ar,mi,r,nosotros,1,0,aremos,0,admiraremos
admirar,ar,mi,r,vosotros,1,0,aréis,0,admiraréis
admirar,ar,mi,r,ellos,1,0,arán,0,admirarán
admirar,ar,mi,r,yo,2,0,aría,0,admiraría
admirar,ar,mi,r,tu,2,0,arías,0,admirarías
admirar,ar,mi,r,el,2,0,aría,0,admiraría
admirar,ar,mi,r,nosotros,2,0,aríamos,0,admiraríamos
admirar,ar,mi,r,vosotros,2,0,aríais,0,admiraríais
admirar,ar,mi,r,ellos,2,0,arían,0,admirarían
admirar,ar,mi,r,yo,0,1,e,0,admire
admirar,ar,mi,r,tu,0,1,es,0,admires
admirar,ar,mi,r,el,0,1,e,0,admire
admirar,ar,mi,r,nosotros,0,1,emos,0,admiremos
admirar,ar,mi,r,vosotros,0,1,éis,0,admiréis
admirar,ar,mi,r,ellos,0,1,en,0,admiren
admirar,ar,mi,r,yo,1,1,ara,0,admirara
admirar,ar,mi,r,tu,1,1,aras,0,admiraras
admirar,ar,mi,r,el,1,1,ara,0,admirara
admirar,ar,mi,r,nosotros,1,1,áramos,0,admiráramos
admirar,ar,mi,r,vosotros,1,1,arais,0,admirarais
admirar,ar,mi,r,ellos,1,1,aran,0,admiraran
admirar,ar,mi,r,yo,1,1,are,0,admirare
admirar,ar,mi,r,tu,1,1,ares,0,admirares
admirar,ar,mi,r,el,1,1,are,0,admirare
admirar,ar,mi,r,nosotros,1,1,áremos,0,admiráremos
admirar,ar,mi,r,vosotros,1,1,areis,0,admirareis
admirar,ar,mi,r,ellos,1,1,aren,0,admiraren
admirar,ar,mi,r,tu,0,2,a,0,admira
admirar,ar,mi,r,nosotros,0,2,emos,0,admiremos
admirar,ar,mi,r,vosotros,0,2,ad,0,admirad
admitir,ir,mi,t,yo,0,0,o,0,admito
admitir,ir,mi,t,tu,0,0,es,0,admites
admitir,ir,mi,t,el,0,0,e,0,admite
admitir,ir,mi,t,nosotros,0,0,imos,0,admitimos
admitir,ir,mi,t,vosotros,0,0,ís,0,admitís
admitir,ir,mi,t,ellos,0,0,en,0,admiten
admitir,ir,mi,t,yo,1,0,ía,0,admitía
admitir,ir,mi,t,tu,1,0,ías,0,admitías
admitir,ir,mi,t,el,1,0,ía,0,admitía
admitir,ir,mi,t,nosotros,1,0,íamos,0,admitíamos
admitir,ir,mi,t,vosotros,1,0,íais,0,admitíais
admitir,ir,mi,t,ellos,1,0,ían,0,admitían
admitir,ir,mi,t,yo,2,0,í,0,admití
admitir,ir,mi,t,tu,2,0,iste,0,admitiste
admitir,ir,mi,t,el,2,0,ió,0,admitió
admitir,ir,mi,t,nosotros,2,0,imos,0,admitimos
admitir,ir,mi,t,vosotros,2,0,isteis,0,admitisteis
admitir,ir,mi,t,ellos,2,0,ieron,0,admitieron
admitir,ir,mi,t,yo,1,0,iré,0,admitiré
admitir,ir,mi,t,tu,1,0,irás,0,admitirás
admitir,ir,mi,t,el,1,0,irá,0,admitirá
admitir,ir,mi,t,nosotros,1,0,iremos,0,admitiremos
admitir,ir,mi,t,vosotros,1,0,iréis,0,admitiréis
admitir,ir,mi,t,ellos,1,0,irán,0,admitirán
admitir,ir,mi,t,yo,2,0,iría,0,admitiría
admitir,ir,mi,t,tu,2,0,irías,0,admitirías
admitir,ir,mi,t,el,2,0,iría,0,admitiría
admitir,ir,mi,t,nosotros,2,0,iríamos,0,admitiríamos
admitir,ir,mi,t,vosotros,2,0,iríais,0,admitiríais
admitir,ir,mi,t,ellos,2,0,irían,0,admitirían
admitir,ir,mi,t,yo,0,1,a,0,admita
admitir,ir,mi,t,tu,0,1,as,0,admitas
admitir,ir,mi,t,el,0,1,a,0,admita
admitir,ir,mi,t,nosotros,0,1,amos,0,admitamos
admitir,ir,mi,t,vosotros,0,1,áis,0,admitáis
admitir,ir,mi,t,ellos,0,1,an,0,admitan
admitir,ir,mi,t,yo,1,1,iera,0,admitiera
admitir,ir,mi,t,tu,1,1,ieras,0,admitieras
admitir,ir,mi,t,el,1,1,iera,0,admitiera
admitir,ir,mi,t,nosotros,1,1,iéramos,0,admitiéramos
admitir,ir,mi,t,vosotros,1,1,ierais,0,admitierais
admitir,ir,mi,t,ellos,1,1,ieran,0,admitieran
admitir,ir,mi,t,yo,1,1,iere,0,admitiere
admitir,ir,mi,t,tu,1,1,ieres,0,admitieres
admitir,ir,mi,t,el,1,1,iere,0,admitiere
admitir,ir,mi,t,nosotros,1,1,iéremos,0,admitiéremos
admitir,ir,mi,t,vosotros,1,1,iereis,0,admitiereis
admitir,ir,mi,t,ellos,1,1,ieren,0,admitieren
admitir,ir,mi,t,tu,0,2,e,0,admite
admitir,ir,mi,t,nosotros,0,2,amos,0,admitamos
admitir,ir,mi,t,vosotros,0,2,id,0,admitid
aconsejar,ar,se,x,yo,0,0,o,0,aconsejo
aconsejar,ar,se,x,tu,0,0,as,0,aconsejas
aconsejar,ar,se,x,el,0,0,a,0,aconseja
aconsejar,ar,se,x,nosotros,0,0,amos,0,aconsejamos
aconsejar,ar,se,x,vosotros,0,0,áis,0,aconsejáis
aconsejar,ar,se,x,ellos,0,0,an,0,aconsejan
aconsejar,ar,se,x,yo,1,0,aba,0,aconsejaba
aconsejar,ar,se,x,tu,1,0,abas,0,aconsejabas
aconsejar,ar,se,x,el,1,0,aba,0,aconsejaba
aconsejar,ar,se,x,nosotros,1,0,ábamos,0,aconsejábamos
aconsejar,ar,se,x,vosotros,1,0,abais,0,aconsejabais
aconsejar,ar,se,x,ellos,1,0,aban,0,aconsejaban
aconsejar,ar,se,x,yo,2,0,é,0,aconsejé
aconsejar,ar,se,x,tu,2,0,aste,0,aconsejaste
aconsejar,ar,se,x,el,2,0,ó,0,aconsejó
aconsejar,ar,se,x,nosotros,2,0,amos,0,aconsejamos
aconsejar,ar,se,x,vosotros,2,0,asteis,0,aconsejasteis
aconsejar,ar,se,x,ellos,2,0,aron,0,aconsejaron
aconsejar,ar,se,x,yo,1,0,aré,0,aconsejaré
aconsejar,ar,se,x,tu,1,0,arás,0,aconsejarás
aconsejar,ar,se,x,el,1,0,ará,0,aconsejará
aconsejar,ar,se,x,nosotros,1,0,aremos,0,aconsejaremos
aconsejar,ar,se,x,vosotros,1,0,aréis,0,aconsejaréis
aconsejar,ar,se,x,ellos,1,0,arán,0,aconsejarán
aconsejar,ar,se,x,yo,2,0,aría,0,aconsejaría
aconsejar,ar,se,x,tu,2,0,arías,0,aconsejarías
aconsejar,ar,se,x,el,2,0,aría,0,aconsejaría
aconsejar,ar,se,x,nosotros,2,0,aríamos,0,aconsejaríamos
aconsejar,ar,se,x,vosotros,2,0,aríais,0,aconsejaríais
aconsejar,ar,se,x,ellos,2,0,arían,0,aconsejarían
aconsejar,ar,se,x,yo,0,1,e,0,aconseje
aconsejar,ar,se,x,tu,0,1,es,0,aconsejes
aconsejar,ar,se,x,el,0,1,e,0,aconseje
aconsejar,ar,se,x,nosotros,0,1,emos,0,aconsejemos
aconsejar,ar,se,x,vosotros,0,1,éis,0,aconsejéis
aconsejar,ar,se,x,ellos,0,1,en,0,aconsejen
aconsejar,ar,se,x,yo,1,1,ara,0,aconsejara
aconsejar,ar,se,x,tu,1,1,aras,0,aconsejaras
aconsejar,ar,se,x,el,1,1,ara,0,aconsejara
aconsejar,ar,se,x,nosotros,1,1,áramos,0,aconsejáramos
aconsejar,ar,se,x,vosotros,1,1,arais,0,aconsejarais
aconsejar,ar,se,x,ellos,1,1,aran,0,aconsejaran
aconsejar,ar,se,x,yo,1,1,are,0,aconsejare
aconsejar,ar,se,x,tu,1,1,ares,0,aconsejares
aconsejar,ar,se,x,el,1,1,are,0,aconsejare
aconsejar,ar,se,x,nosotros,1,1,áremos,0,aconsejáremos
aconsejar,ar,se,x,vosotros,1,1,areis,0,aconsejareis
aconsejar,ar,se,x,ellos,1,1,aren,0,aconsejaren
aconsejar,ar,se,x,tu,0,2,a,0,aconseja
aconsejar,ar,se,x,nosotros,0,2,emos,0,aconsejemos
aconsejar,ar,se,x,vosotros,0,2,ad,0,aconsejad
afrontar,ar,froN,t,yo,0,0,o,0,afronto
afrontar,ar,froN,t,tu,0,0,as,0,afrontas
afrontar,ar,froN,t,el,0,0,a,0,afronta
afrontar,ar,froN,t,nosotros,0,0,amos,0,afrontamos
afrontar,ar,froN,t,vosotros,0,0,áis,0,afrontáis
afrontar,ar,froN,t,ellos,0,0,an,0,afrontan
afrontar,ar,froN,t,yo,1,0,aba,0,afrontaba
afrontar,ar,froN,t,tu,1,0,abas,0,afrontabas
afrontar,ar,froN,t,el,1,0,aba,0,afrontaba
afrontar,ar,froN,t,nosotros,1,0,ábamos,0,afrontábamos
afrontar,ar,froN,t,vosotros,1,0,abais,0,afrontabais
afrontar,ar,froN,t,ellos,1,0,aban,0,afrontaban
afrontar,ar,froN,t,yo,2,0,é,0,afronté
afrontar,ar,froN,t,tu,2,0,aste,0,afrontaste
afrontar,ar,froN,t,el,2,0,ó,0,afrontó
afrontar,ar,froN,t,nosotros,2,0,amos,0,afrontamos
afrontar,ar,froN,t,vosotros,2,0,asteis,0,afrontasteis
afrontar,ar,froN,t,ellos,2,0,aron,0,afrontaron
afrontar,ar,froN,t,yo,1,0,aré,0,afrontaré
afrontar,ar,froN,t,tu,1,0,arás,0,afrontarás
afrontar,ar,froN,t,el,1,0,ará,0,afrontará
afrontar,ar,froN,t,nosotros,1,0,aremos,0,afrontaremos
afrontar,ar,froN,t,vosotros,1,0,aréis,0,afrontaréis
afrontar,ar,froN,t,ellos,1,0,arán,0,afrontarán
afrontar,ar,froN,t,yo,2,0,aría,0,afrontaría
afrontar,ar,froN,t,tu,2,0,arías,0,afrontarías
afrontar,ar,froN,t,el,2,0,aría,0,afrontaría
afrontar,ar,froN,t,nosotros,2,0,aríamos,0,afrontaríamos
afrontar,ar,froN,t,vosotros,2,0,aríais,0,afrontaríais
afrontar,ar,froN,t,ellos,2,0,arían,0,afrontarían
afrontar,ar,froN,t,yo,0,1,e,0,afronte
afrontar,ar,froN,t,tu,0,1,es,0,afrontes
afrontar,ar,froN,t,el,0,1,e,0,afronte
afrontar,ar,froN,t,nosotros,0,1,emos,0,afrontemos
afrontar,ar,froN,t,vosotros,0,1,éis,0,afrontéis
afrontar,ar,froN,t,ellos,0,1,en,0,afronten
afrontar,ar,froN,t,yo,1,1,ara,0,afrontara
afrontar,ar,froN,t,tu,1,1,aras,0,afrontaras
afrontar,ar,froN,t,el,1,1,ara,0,afrontara
afrontar,ar,froN,t,nosotros,1,1,áramos,0,afrontáramos
afrontar,ar,froN,t,vosotros,1,1,arais,0,afrontarais
afrontar,ar,froN,t,ellos,1,1,aran,0,afrontaran
afrontar,ar,froN,t,yo,1,1,are,0,afrontare
afrontar,ar,froN,t,tu,1,1,ares,0,afrontares
afrontar,ar,froN,t,el,1,1,are,0,afrontare
afrontar,ar,froN,t,nosotros,1,1,áremos,0,afrontáremos
afrontar,ar,froN,t,vosotros,1,1,areis,0,afrontareis
afrontar,ar,froN,t,ellos,1,1,aren,0,afrontaren
afrontar,ar,froN,t,tu,0,2,a,0,afronta
afrontar,ar,froN,t,nosotros,0,2,emos,0,afrontemos
afrontar,ar,froN,t,vosotros,0,2,ad,0,afrontad
estar,ar,es,t,yo,0,0,oy,0,estoy
estar,ar,es,t,tu,0,0,ás,0,estás
estar,ar,es,t,el,0,0,á,0,está
estar,ar,es,t,nosotros,0,0,amos,0,estamos
estar,ar,es,t,vosotros,0,0,áis,0,estáis
estar,ar,es,t,ellos,0,0,án,0,están
estar,ar,es,t,yo,1,0,aba,0,estaba
estar,ar,es,t,tu,1,0,abas,0,estabas
estar,ar,es,t,el,1,0,aba,0,estaba
estar,ar,es,t,nosotros,1,0,ábamos,0,estábamos
estar,ar,es,t,vosotros,1,0,abais,0,estabais
estar,ar,es,t,ellos,1,0,aban,0,estaban
estar,ar,es,t,yo,2,0,uve,0,estuve
estar,ar,es,t,tu,2,0,uviste,0,estuviste
estar,ar,es,t,el,2,0,uvo,0,estuvo
estar,ar,es,t,nosotros,2,0,uvimos,0,estuvimos
estar,ar,es,t,vosotros,2,0,uvisteis,0,estuvisteis
estar,ar,es,t,ellos,2,0,uvieron,0,estuvieron
estar,ar,es,t,yo,1,0,aré,0,estaré
estar,ar,es,t,tu,1,0,arás,0,estarás
estar,ar,es,t,el,1,0,ará,0,estará
estar,ar,es,t,nosotros,1,0,aremos,0,estaremos
estar,ar,es,t,vosotros,1,0,aréis,0,estaréis
estar,ar,es,t,ellos,1,0,arán,0,estarán
estar,ar,es,t,yo,2,0,aría,0,estaría
estar,ar,es,t,tu,2,0,arías,0,estarías
estar,ar,es,t,el,2,0,aría,0,estaría
estar,ar,es,t,nosotros,2,0,aríamos,0,estaríamos
estar,ar,es,t,vosotros,2,0,aríais,0,estaríais
estar,ar,es,t,ellos,2,0,arían,0,estarían
estar,ar,es,t,yo,0,1,é,0,esté
estar,ar,es,t,tu,0,1,és,0,estés
estar,ar,es,t,el,0,1,é,0,esté
estar,ar,es,t,nosotros,0,1,emos,0,estemos
estar,ar,es,t,vosotros,0,1,éis,0,estéis
estar,ar,es,t,ellos,0,1,én,0,estén
estar,ar,es,t,yo,1,1,uviera,0,estuviera
estar,ar,es,t,tu,1,1,uvieras,0,estuvieras
estar,ar,es,t,el,1,1,uviera,0,estuviera
estar,ar,es,t,nosotros,1,1,uviéramos,0,estuviéramos
estar,ar,es,t,vosotros,1,1,uvierais,0,estuvierais
estar,ar,es,t,ellos,1,1,uvieran,0,estuvieran
estar,ar,es,t,yo,1,1,uviere,0,estuviere
estar,ar,es,t,tu,1,1,uvieres,0,estuvieres
estar,ar,es,t,el,1,1,uviere,0,estuviere
estar,ar,es,t,nosotros,1,1,uviéremos,0,estuviéremos
estar,ar,es,t,vosotros,1,1,uviereis,0,estuviereis
estar,ar,es,t,ellos,1,1,uvieren,0,estuvieren
estar,ar,es,t,tu,0,2,á,0,está
estar,ar,es,t,nosotros,0,2,emos,0,estemos
estar,ar,es,t,vosotros,0,2,ad,0,estad
alertar,ar,ler,t,yo,0,0,o,0,alerto
alertar,ar,ler,t,tu,0,0,as,0,alertas
alertar,ar,ler,t,el,0,0,a,0,alerta
alertar,ar,ler,t,nosotros,0,0,amos,0,alertamos
alertar,ar,ler,t,vosotros,0,0,áis,0,alertáis
alertar,ar,ler,t,ellos,0,0,an,0,alertan
alertar,ar,ler,t,yo,1,0,aba,0,alertaba
alertar,ar,ler,t,tu,1,0,abas,0,alertabas
alertar,ar,ler,t,el,1,0,aba,0,alertaba
alertar,ar,ler,t,nosotros,1,0,ábamos,0,alertábamos
alertar,ar,ler,t,vosotros,1,0,abais,0,alertabais
alertar,ar,ler,t,ellos,1,0,aban,0,alertaban
alertar,ar,ler,t,yo,2,0,é,0,alerté
alertar,ar,ler,t,tu,2,0,aste,0,alertaste
alertar,ar,ler,t,el,2,0,ó,0,alertó
alertar,ar,ler,t,nosotros,2,0,amos,0,alertamos
alertar,ar,ler,t,vosotros,2,0,asteis,0,alertasteis
alertar,ar,ler,t,ellos,2,0,aron,0,alertaron
alertar,ar,ler,t,yo,1,0,aré,0,alertaré
alertar,ar,ler,t,tu,1,0,arás,0,alertarás
alertar,ar,ler,t,el,1,0,ará,0,alertará
alertar,ar,ler,t,nosotros,1,0,aremos,0,alertaremos
alertar,ar,ler,t,vosotros,1,0,aréis,0,alertaréis
alertar,ar,ler,t,ellos,1,0,arán,0,alertarán
alertar,ar,ler,t,yo,2,0,aría,0,alertaría
alertar,ar,ler,t,tu,2,0,arías,0,alertarías
alertar,ar,ler,t,el,2,0,aría,0,alertaría
alertar,ar,ler,t,nosotros,2,0,aríamos,0,alertaríamos
alertar,ar,ler,t,vosotros,2,0,aríais,0,alertaríais
alertar,ar,ler,t,ellos,2,0,arían,0,alertarían
alertar,ar,ler,t,yo,0,1,e,0,alerte
alertar,ar,ler,t,tu,0,1,es,0,alertes
alertar,ar,ler,t,el,0,1,e,0,alerte
alertar,ar,ler,t,nosotros,0,1,emos,0,alertemos
alertar,ar,ler,t,vosotros,0,1,éis,0,alertéis
alertar,ar,ler,t,ellos,0,1,en,0,alerten
alertar,ar,ler,t,yo,1,1,ara,0,alertara
alertar,ar,ler,t,tu,1,1,aras,0,alertaras
alertar,ar,ler,t,el,1,1,ara,0,alertara
alertar,ar,ler,t,nosotros,1,1,áramos,0,alertáramos
alertar,ar,ler,t,vosotros,1,1,arais,0,alertarais
alertar,ar,ler,t,ellos,1,1,aran,0,alertaran
alertar,ar,ler,t,yo,1,1,are,0,alertare
alertar,ar,ler,t,tu,1,1,ares,0,alertares
alertar,ar,ler,t,el,1,1,are,0,alertare
alertar,ar,ler,t,nosotros,1,1,áremos,0,alertáremos
alertar,ar,ler,t,vosotros,1,1,areis,0,alertareis
alertar,ar,ler,t,ellos,1,1,aren,0,alertaren
alertar,ar,ler,t,tu,0,2,a,0,alerta
alertar,ar,ler,t,nosotros,0,2,emos,0,alertemos
alertar,ar,ler,t,vosotros,0,2,ad,0,alertad
permitir,ir,mi,t,yo,0,0,o,0,permito
permitir,ir,mi,t,tu,0,0,es,0,permites
permitir,ir,mi,t,el,0,0,e,0,permite
permitir,ir,mi,t,nosotros,0,0,imos,0,permitimos
permitir,ir,mi,t,vosotros,0,0,ís,0,permitís
permitir,ir,mi,t,ellos,0,0,en,0,permiten
permitir,ir,mi,t,yo,1,0,ía,0,permitía
permitir,ir,mi,t,tu,1,0,ías,0,permitías
permitir,ir,mi,t,el,1,0,ía,0,permitía
permitir,ir,mi,t,nosotros,1,0,íamos,0,permitíamos
permitir,ir,mi,t,vosotros,1,0,íais,0,permitíais
permitir,ir,mi,t,ellos,1,0,ían,0,permitían
permitir,ir,mi,t,yo,2,0,í,0,permití
permitir,ir,mi,t,tu,2,0,iste,0,permitiste
permitir,ir,mi,t,el,2,0,ió,0,permitió
permitir,ir,mi,t,nosotros,2,0,imos,0,permitimos
permitir,ir,mi,t,vosotros,2,0,isteis,0,permitisteis
permitir,ir,mi,t,ellos,2,0,ieron,0,permitieron
permitir,ir,mi,t,yo,1,0,iré,0,permitiré
permitir,ir,mi,t,tu,1,0,irás,0,permitirás
permitir,ir,mi,t,el,1,0,irá,0,permitirá
permitir,ir,mi,t,nosotros,1,0,iremos,0,permitiremos
permitir,ir,mi,t,vosotros,1,0,iréis,0,permitiréis
permitir,ir,mi,t,ellos,1,0,irán,0,permitirán
permitir,ir,mi,t,yo,2,0,iría,0,permitiría
permitir,ir,mi,t,tu,2,0,irías,0,permitirías
permitir,ir,mi,t,el,2,0,iría,0,permitiría
permitir,ir,mi,t,nosotros,2,0,iríamos,0,permitiríamos
permitir,ir,mi,t,vosotros,2,0,iríais,0,permitiríais
permitir,ir,mi,t,ellos,2,0,irían,0,permitirían
permitir,ir,mi,t,yo,0,1,a,0,permita
permitir,ir,mi,t,tu,0,1,as,0,permitas
permitir,ir,mi,t,el,0,1,a,0,permita
permitir,ir,mi,t,nosotros,0,1,amos,0,permitamos
permitir,ir,mi,t,vosotros,0,1,áis,0,permitáis
permitir,ir,mi,t,ellos,0,1,an,0,permitan
permitir,ir,mi,t,yo,1,1,iera,0,permitiera
permitir,ir,mi,t,tu,1,1,ieras,0,permitieras
permitir,ir,mi,t,el,1,1,iera,0,permitiera
permitir,ir,mi,t,nosotros,1,1,iéramos,0,permitiéramos
permitir,ir,mi,t,vosotros,1,1,ierais,0,permitierais
permitir,ir,mi,t,ellos,1,1,ieran,0,permitieran
permitir,ir,mi,t,yo,1,1,iere,0,permitiere
permitir,ir,mi,t,tu,1,1,ieres,0,permitieres
permitir,ir,mi,t,el,1,1,iere,0,permitiere
permitir,ir,mi,t,nosotros,1,1,iéremos,0,permitiéremos
permitir,ir,mi,t,vosotros,1,1,iereis,0,permitiereis
permitir,ir,mi,t,ellos,1,1,ieren,0,permitieren
permitir,ir,mi,t,tu,0,2,e,0,permite
permitir,ir,mi,t,nosotros,0,2,amos,0,permitamos
permitir,ir,mi,t,vosotros,0,2,id,0,permitid
entretener,er,te,n,yo,0,0,go,ten,entretengo
entretener,er,te,n,tu,0,0,es,tie,entretienes
entretener,er,te,n,el,0,0,e,tie,entretiene
entretener,er,te,n,nosotros,0,0,emos,0,entretenemos
entretener,er,te,n,vosotros,0,0,éis,0,entretenéis
entretener,er,te,n,ellos,0,0,en,tie,entretienen
entretener,er,te,n,yo,1,0,ía,0,entretenía
entretener,er,te,n,tu,1,0,ías,0,entretenías
entretener,er,te,n,el,1,0,ía,0,entretenía
entretener,er,te,n,nosotros,1,0,íamos,0,entreteníamos
entretener,er,te,n,vosotros,1,0,íais,0,entreteníais
entretener,er,te,n,ellos,1,0,ían,0,entretenían
entretener,er,te,n,yo,2,0,ve,tu,entretuve
entretener,er,te,n,tu,2,0,viste,tu,entretuviste
entretener,er,te,n,el,2,0,vo,tu,entretuvo
entretener,er,te,n,nosotros,2,0,vimos,tu,entretuvimos
entretener,er,te,n,vosotros,2,0,visteis,tu,entretuvisteis
entretener,er,te,n,ellos,2,0,vieron,tu,entretuvieron
entretener,er,te,n,yo,1,0,dré,ten,entretendré
entretener,er,te,n,tu,1,0,drás,ten,entretendrás
entretener,er,te,n,el,1,0,drá,ten,entretendrá
entretener,er,te,n,nosotros,1,0,dremos,ten,entretendremos
entretener,er,te,n,vosotros,1,0,dréis,ten,entretendréis
entretener,er,te,n,ellos,1,0,drán,ten,entretendrán
entretener,er,te,n,yo,2,0,dría,ten,entretendría
entretener,er,te,n,tu,2,0,drías,ten,entretendrías
entretener,er,te,n,el,2,0,dría,ten,entretendría
entretener,er,te,n,nosotros,2,0,dríamos,ten,entretendríamos
entretener,er,te,n,vosotros,2,0,dríais,ten,entretendríais
entretener,er,te,n,ellos,2,0,drían,ten,entretendrían
entretener,er,te,n,yo,0,1,ga,ten,entretenga
entretener,er,te,n,tu,0,1,gas,ten,entretengas
entretener,er,te,n,el,0,1,ga,ten,entretenga
entretener,er,te,n,nosotros,0,1,gamos,ten,entretengamos
entretener,er,te,n,vosotros,0,1,gáis,ten,entretengáis
entretener,er,te,n,ellos,0,1,gan,ten,entretengan
entretener,er,te,n,yo,1,1,viera,tu,entretuviera
entretener,er,te,n,tu,1,1,vieras,tu,entretuvieras
entretener,er,te,n,el,1,1,viera,tu,entretuviera
entretener,er,te,n,nosotros,1,1,viéramos,tu,entretuviéramos
entretener,er,te,n,vosotros,1,1,vierais,tu,entretuvierais
entretener,er,te,n,ellos,1,1,vieran,tu,entretuvieran
entretener,er,te,n,yo,1,1,viere,tu,entretuviere
