infinitivo,ending,pensyl,prepensyl,pospensyl,stem,person,number,tense,mood,class_pensyl,class_suff,conjugacion
afrontar,ar,fron,f,ron,t,2,1,3,0,0,aréis,afrontaréis
afrontar,ar,fron,f,ron,t,3,1,3,0,0,arán,afrontarán
afrontar,ar,fron,f,ron,t,1,0,4,0,0,aría,afrontaría
afrontar,ar,fron,f,ron,t,2,0,4,0,0,arías,afrontarías
afrontar,ar,fron,f,ron,t,3,0,4,0,0,aría,afrontaría
afrontar,ar,fron,f,ron,t,1,1,4,0,0,aríamos,afrontaríamos
afrontar,ar,fron,f,ron,t,2,1,4,0,0,aríais,afrontaríais
afrontar,ar,fron,f,ron,t,3,1,4,0,0,arían,afrontarían
afrontar,ar,fron,f,ron,t,1,0,0,1,0,e,afronte
afrontar,ar,fron,f,ron,t,2,0,0,1,0,es,afrontes
afrontar,ar,fron,f,ron,t,3,0,0,1,0,e,afronte
afrontar,ar,fron,f,ron,t,1,1,0,1,0,emos,afrontemos
afrontar,ar,fron,f,ron,t,2,1,0,1,0,éis,afrontéis
afrontar,ar,fron,f,ron,t,3,1,0,1,0,en,afronten
afrontar,ar,fron,f,ron,t,1,0,1,1,0,ara,afrontara
afrontar,ar,fron,f,ron,t,2,0,1,1,0,aras,afrontaras
afrontar,ar,fron,f,ron,t,3,0,1,1,0,ara,afrontara
afrontar,ar,fron,f,ron,t,1,1,1,1,0,áramos,afrontáramos
afrontar,ar,fron,f,ron,t,2,1,1,1,0,arais,afrontarais
afrontar,ar,fron,f,ron,t,3,1,1,1,0,aran,afrontaran
afrontar,ar,fron,f,ron,t,1,0,3,1,0,are,afrontare
afrontar,ar,fron,f,ron,t,2,0,3,1,0,ares,afrontares
afrontar,ar,fron,f,ron,t,3,0,3,1,0,are,afrontare
afrontar,ar,fron,f,ron,t,1,1,3,1,0,áremos,afrontáremos
afrontar,ar,fron,f,ron,t,2,1,3,1,0,areis,afrontareis
afrontar,ar,fron,f,ron,t,3,1,3,1,0,aren,afrontaren
afrontar,ar,fron,f,ron,t,0,0,0,2,-,?,-
afrontar,ar,fron,f,ron,t,2,0,0,2,0,a,afronta
afrontar,ar,fron,f,ron,t,3,0,0,2,0,e,afronte
afrontar,ar,fron,f,ron,t,1,1,0,2,0,emos,afrontemos
afrontar,ar,fron,f,ron,t,2,1,0,2,0,ad,afrontad
afrontar,ar,fron,f,ron,t,3,1,0,2,0,en,afronten
estar,ar,es,NULL,es,t,1,0,0,0,0,oy,estoy
estar,ar,es,NULL,es,t,2,0,0,0,0,ás,estás
estar,ar,es,NULL,es,t,3,0,0,0,0,á,está
estar,ar,es,NULL,es,t,1,1,0,0,0,amos,estamos
estar,ar,es,NULL,es,t,2,1,0,0,0,áis,estáis
estar,ar,es,NULL,es,t,3,1,0,0,0,án,están
estar,ar,es,NULL,es,t,1,0,1,0,0,aba,estaba
estar,ar,es,NULL,es,t,2,0,1,0,0,abas,estabas
estar,ar,es,NULL,es,t,3,0,1,0,0,aba,estaba
estar,ar,es,NULL,es,t,1,1,1,0,0,ábamos,estábamos
estar,ar,es,NULL,es,t,2,1,1,0,0,abais,estabais
estar,ar,es,NULL,es,t,3,1,1,0,0,aban,estaban
estar,ar,es,NULL,es,t,1,0,2,0,0,uve,estuve
estar,ar,es,NULL,es,t,2,0,2,0,0,uviste,estuviste
estar,ar,es,NULL,es,t,3,0,2,0,0,uvo,estuvo
estar,ar,es,NULL,es,t,1,1,2,0,0,uvimos,estuvimos
estar,ar,es,NULL,es,t,2,1,2,0,0,uvisteis,estuvisteis
estar,ar,es,NULL,es,t,3,1,2,0,0,uvieron,estuvieron
estar,ar,es,NULL,es,t,1,0,3,0,0,aré,estaré
estar,ar,es,NULL,es,t,2,0,3,0,0,arás,estarás
estar,ar,es,NULL,es,t,3,0,3,0,0,ará,estará
estar,ar,es,NULL,es,t,1,1,3,0,0,aremos,estaremos
estar,ar,es,NULL,es,t,2,1,3,0,0,aréis,estaréis
estar,ar,es,NULL,es,t,3,1,3,0,0,arán,estarán
estar,ar,es,NULL,es,t,1,0,4,0,0,aría,estaría
estar,ar,es,NULL,es,t,2,0,4,0,0,arías,estarías
estar,ar,es,NULL,es,t,3,0,4,0,0,aría,estaría
estar,ar,es,NULL,es,t,1,1,4,0,0,aríamos,estaríamos
estar,ar,es,NULL,es,t,2,1,4,0,0,aríais,estaríais
estar,ar,es,NULL,es,t,3,1,4,0,0,arían,estarían
estar,ar,es,NULL,es,t,1,0,0,1,0,é,esté
estar,ar,es,NULL,es,t,2,0,0,1,0,és,estés
estar,ar,es,NULL,es,t,3,0,0,1,0,é,esté
estar,ar,es,NULL,es,t,1,1,0,1,0,emos,estemos
estar,ar,es,NULL,es,t,2,1,0,1,0,éis,estéis
estar,ar,es,NULL,es,t,3,1,0,1,0,én,estén
estar,ar,es,NULL,es,t,1,0,1,1,0,uviera,estuviera
estar,ar,es,NULL,es,t,2,0,1,1,0,uvieras,estuvieras
estar,ar,es,NULL,es,t,3,0,1,1,0,uviera,estuviera
estar,ar,es,NULL,es,t,1,1,1,1,0,uviéramos,estuviéramos
estar,ar,es,NULL,es,t,2,1,1,1,0,uvierais,estuvierais
estar,ar,es,NULL,es,t,3,1,1,1,0,uvieran,estuvieran
estar,ar,es,NULL,es,t,1,0,3,1,0,uviere,estuviere
estar,ar,es,NULL,es,t,2,0,3,1,0,uvieres,estuvieres
estar,ar,es,NULL,es,t,3,0,3,1,0,uviere,estuviere
estar,ar,es,NULL,es,t,1,1,3,1,0,uviéremos,estuviéremos
estar,ar,es,NULL,es,t,2,1,3,1,0,uviereis,estuviereis
estar,ar,es,NULL,es,t,3,1,3,1,0,uvieren,estuvieren
estar,ar,es,NULL,es,t,0,0,0,2,-,?,-
estar,ar,es,NULL,es,t,2,0,0,2,0,á,está
estar,ar,es,NULL,es,t,3,0,0,2,0,é,esté
estar,ar,es,NULL,es,t,1,1,0,2,0,emos,estemos
estar,ar,es,NULL,es,t,2,1,0,2,0,ad,estad
estar,ar,es,NULL,es,t,3,1,0,2,0,én,estén
alertar,ar,ler,l,er,t,1,0,0,0,0,o,alerto
alertar,ar,ler,l,er,t,2,0,0,0,0,as,alertas
alertar,ar,ler,l,er,t,3,0,0,0,0,a,alerta
alertar,ar,ler,l,er,t,1,1,0,0,0,amos,alertamos
alertar,ar,ler,l,er,t,2,1,0,0,0,áis,alertáis
alertar,ar,ler,l,er,t,3,1,0,0,0,an,alertan
alertar,ar,ler,l,er,t,1,0,1,0,0,aba,alertaba
alertar,ar,ler,l,er,t,2,0,1,0,0,abas,alertabas
alertar,ar,ler,l,er,t,3,0,1,0,0,aba,alertaba
alertar,ar,ler,l,er,t,1,1,1,0,0,ábamos,alertábamos
alertar,ar,ler,l,er,t,2,1,1,0,0,abais,alertabais
alertar,ar,ler,l,er,t,3,1,1,0,0,aban,alertaban
alertar,ar,ler,l,er,t,1,0,2,0,0,é,alerté
alertar,ar,ler,l,er,t,2,0,2,0,0,aste,alertaste
alertar,ar,ler,l,er,t,3,0,2,0,0,ó,alertó
alertar,ar,ler,l,er,t,1,1,2,0,0,amos,alertamos
alertar,ar,ler,l,er,t,2,1,2,0,0,asteis,alertasteis
alertar,ar,ler,l,er,t,3,1,2,0,0,aron,alertaron
alertar,ar,ler,l,er,t,1,0,3,0,0,aré,alertaré
alertar,ar,ler,l,er,t,2,0,3,0,0,arás,alertarás
alertar,ar,ler,l,er,t,3,0,3,0,0,ará,alertará
alertar,ar,ler,l,er,t,1,1,3,0,0,aremos,alertaremos
alertar,ar,ler,l,er,t,2,1,3,0,0,aréis,alertaréis
alertar,ar,ler,l,er,t,3,1,3,0,0,arán,alertarán
alertar,ar,ler,l,er,t,1,0,4,0,0,aría,alertaría
alertar,ar,ler,l,er,t,2,0,4,0,0,arías,alertarías
alertar,ar,ler,l,er,t,3,0,4,0,0,aría,alertaría
alertar,ar,ler,l,er,t,1,1,4,0,0,aríamos,alertaríamos
alertar,ar,ler,l,er,t,2,1,4,0,0,aríais,alertaríais
alertar,ar,ler,l,er,t,3,1,4,0,0,arían,alertarían
alertar,ar,ler,l,er,t,1,0,0,1,0,e,alerte
alertar,ar,ler,l,er,t,2,0,0,1,0,es,alertes
alertar,ar,ler,l,er,t,3,0,0,1,0,e,alerte
alertar,ar,ler,l,er,t,1,1,0,1,0,emos,alertemos
alertar,ar,ler,l,er,t,2,1,0,1,0,éis,alertéis
alertar,ar,ler,l,er,t,3,1,0,1,0,en,alerten
alertar,ar,ler,l,er,t,1,0,1,1,0,ara,alertara
alertar,ar,ler,l,er,t,2,0,1,1,0,aras,alertaras
alertar,ar,ler,l,er,t,3,0,1,1,0,ara,alertara
alertar,ar,ler,l,er,t,1,1,1,1,0,áramos,alertáramos
alertar,ar,ler,l,er,t,2,1,1,1,0,arais,alertarais
alertar,ar,ler,l,er,t,3,1,1,1,0,aran,alertaran
alertar,ar,ler,l,er,t,1,0,3,1,0,are,alertare
alertar,ar,ler,l,er,t,2,0,3,1,0,ares,alertares
alertar,ar,ler,l,er,t,3,0,3,1,0,are,alertare
alertar,ar,ler,l,er,t,1,1,3,1,0,áremos,alertáremos
alertar,ar,ler,l,er,t,2,1,3,1,0,areis,alertareis
alertar,ar,ler,l,er,t,3,1,3,1,0,aren,alertaren
alertar,ar,ler,l,er,t,0,0,0,2,-,?,-
alertar,ar,ler,l,er,t,2,0,0,2,0,a,alerta
alertar,ar,ler,l,er,t,3,0,0,2,0,e,alerte
alertar,ar,ler,l,er,t,1,1,0,2,0,emos,alertemos
alertar,ar,ler,l,er,t,2,1,0,2,0,ad,alertad
alertar,ar,ler,l,er,t,3,1,0,2,0,en,alerten
permitir,ir,mi,NULL,mi,t,1,0,0,0,0,o,permito
permitir,ir,mi,NULL,mi,t,2,0,0,0,0,es,permites
permitir,ir,mi,NULL,mi,t,3,0,0,0,0,e,permite
permitir,ir,mi,NULL,mi,t,1,1,0,0,0,imos,permitimos
permitir,ir,mi,NULL,mi,t,2,1,0,0,0,ís,permitís
permitir,ir,mi,NULL,mi,t,3,1,0,0,0,en,permiten
permitir,ir,mi,NULL,mi,t,1,0,1,0,0,ía,permitía
permitir,ir,mi,NULL,mi,t,2,0,1,0,0,ías,permitías
permitir,ir,mi,NULL,mi,t,3,0,1,0,0,ía,permitía
permitir,ir,mi,NULL,mi,t,1,1,1,0,0,íamos,permitíamos
permitir,ir,mi,NULL,mi,t,2,1,1,0,0,íais,permitíais
