infinitivo,ending,stem,pensyl,prePensyl,posPensyl,person,number,tense,mood,class_suff,class_pensyl,class_prePensyl,class_posPensyl,conjugacion
admitir,ir,t,mi,NULL,mi,2,0,0,1,as,0,NULL,0,admitas
admitir,ir,t,mi,NULL,mi,3,0,0,1,a,0,NULL,0,admita
admitir,ir,t,mi,NULL,mi,1,1,0,1,amos,0,NULL,0,admitamos
admitir,ir,t,mi,NULL,mi,2,1,0,1,áis,0,NULL,0,admitáis
admitir,ir,t,mi,NULL,mi,3,1,0,1,an,0,NULL,0,admitan
admitir,ir,t,mi,NULL,mi,1,0,1,1,iera,0,NULL,0,admitiera
admitir,ir,t,mi,NULL,mi,2,0,1,1,ieras,0,NULL,0,admitieras
admitir,ir,t,mi,NULL,mi,3,0,1,1,iera,0,NULL,0,admitiera
admitir,ir,t,mi,NULL,mi,1,1,1,1,iéramos,0,NULL,0,admitiéramos
admitir,ir,t,mi,NULL,mi,2,1,1,1,ierais,0,NULL,0,admitierais
admitir,ir,t,mi,NULL,mi,3,1,1,1,ieran,0,NULL,0,admitieran
admitir,ir,t,mi,NULL,mi,1,0,1,1,iere,0,NULL,0,admitiere
admitir,ir,t,mi,NULL,mi,2,0,1,1,ieres,0,NULL,0,admitieres
admitir,ir,t,mi,NULL,mi,3,0,1,1,iere,0,NULL,0,admitiere
admitir,ir,t,mi,NULL,mi,1,1,1,1,iéremos,0,NULL,0,admitiéremos
admitir,ir,t,mi,NULL,mi,2,1,1,1,iereis,0,NULL,0,admitiereis
admitir,ir,t,mi,NULL,mi,3,1,1,1,ieren,0,NULL,0,admitieren
admitir,ir,t,mi,NULL,mi,0,0,0,2,-,-,-,-,-
admitir,ir,t,mi,NULL,mi,2,0,0,2,e,0,NULL,0,admite
admitir,ir,t,mi,NULL,mi,0,0,0,2,a,0,NULL,0,admita
admitir,ir,t,mi,NULL,mi,1,1,0,2,amos,0,NULL,0,admitamos
admitir,ir,t,mi,NULL,mi,2,1,0,2,id,0,NULL,0,admitid
admitir,ir,t,mi,NULL,mi,0,0,0,2,an,0,NULL,0,admitan
aconsejar,ar,j,se,NULL,se,1,0,0,0,o,0,NULL,0,aconsejo
aconsejar,ar,j,se,NULL,se,2,0,0,0,as,0,NULL,0,aconsejas
aconsejar,ar,j,se,NULL,se,3,0,0,0,a,0,NULL,0,aconseja
aconsejar,ar,j,se,NULL,se,1,1,0,0,amos,0,NULL,0,aconsejamos
aconsejar,ar,j,se,NULL,se,2,1,0,0,áis,0,NULL,0,aconsejáis
aconsejar,ar,j,se,NULL,se,3,1,0,0,an,0,NULL,0,aconsejan
aconsejar,ar,j,se,NULL,se,1,0,1,0,aba,0,NULL,0,aconsejaba
aconsejar,ar,j,se,NULL,se,2,0,1,0,abas,0,NULL,0,aconsejabas
aconsejar,ar,j,se,NULL,se,3,0,1,0,aba,0,NULL,0,aconsejaba
aconsejar,ar,j,se,NULL,se,1,1,1,0,ábamos,0,NULL,0,aconsejábamos
aconsejar,ar,j,se,NULL,se,2,1,1,0,abais,0,NULL,0,aconsejabais
aconsejar,ar,j,se,NULL,se,3,1,1,0,aban,0,NULL,0,aconsejaban
aconsejar,ar,j,se,NULL,se,1,0,2,0,é,0,NULL,0,aconsejé
aconsejar,ar,j,se,NULL,se,2,0,2,0,aste,0,NULL,0,aconsejaste
aconsejar,ar,j,se,NULL,se,3,0,2,0,ó,0,NULL,0,aconsejó
aconsejar,ar,j,se,NULL,se,1,1,2,0,amos,0,NULL,0,aconsejamos
aconsejar,ar,j,se,NULL,se,2,1,2,0,asteis,0,NULL,0,aconsejasteis
aconsejar,ar,j,se,NULL,se,3,1,2,0,aron,0,NULL,0,aconsejaron
aconsejar,ar,j,se,NULL,se,1,0,1,0,aré,0,NULL,0,aconsejaré
aconsejar,ar,j,se,NULL,se,2,0,1,0,arás,0,NULL,0,aconsejarás
aconsejar,ar,j,se,NULL,se,3,0,1,0,ará,0,NULL,0,aconsejará
aconsejar,ar,j,se,NULL,se,1,1,1,0,aremos,0,NULL,0,aconsejaremos
aconsejar,ar,j,se,NULL,se,2,1,1,0,aréis,0,NULL,0,aconsejaréis
aconsejar,ar,j,se,NULL,se,3,1,1,0,arán,0,NULL,0,aconsejarán
aconsejar,ar,j,se,NULL,se,1,0,2,0,aría,0,NULL,0,aconsejaría
aconsejar,ar,j,se,NULL,se,2,0,2,0,arías,0,NULL,0,aconsejarías
aconsejar,ar,j,se,NULL,se,3,0,2,0,aría,0,NULL,0,aconsejaría
aconsejar,ar,j,se,NULL,se,1,1,2,0,aríamos,0,NULL,0,aconsejaríamos
aconsejar,ar,j,se,NULL,se,2,1,2,0,aríais,0,NULL,0,aconsejaríais
aconsejar,ar,j,se,NULL,se,3,1,2,0,arían,0,NULL,0,aconsejarían
aconsejar,ar,j,se,NULL,se,1,0,0,1,e,0,NULL,0,aconseje
aconsejar,ar,j,se,NULL,se,2,0,0,1,es,0,NULL,0,aconsejes
aconsejar,ar,j,se,NULL,se,3,0,0,1,e,0,NULL,0,aconseje
aconsejar,ar,j,se,NULL,se,1,1,0,1,emos,0,NULL,0,aconsejemos
aconsejar,ar,j,se,NULL,se,2,1,0,1,éis,0,NULL,0,aconsejéis
aconsejar,ar,j,se,NULL,se,3,1,0,1,en,0,NULL,0,aconsejen
aconsejar,ar,j,se,NULL,se,1,0,1,1,ara,0,NULL,0,aconsejara
aconsejar,ar,j,se,NULL,se,2,0,1,1,aras,0,NULL,0,aconsejaras
aconsejar,ar,j,se,NULL,se,3,0,1,1,ara,0,NULL,0,aconsejara
aconsejar,ar,j,se,NULL,se,1,1,1,1,áramos,0,NULL,0,aconsejáramos
aconsejar,ar,j,se,NULL,se,2,1,1,1,arais,0,NULL,0,aconsejarais
aconsejar,ar,j,se,NULL,se,3,1,1,1,aran,0,NULL,0,aconsejaran
aconsejar,ar,j,se,NULL,se,1,0,1,1,are,0,NULL,0,aconsejare
aconsejar,ar,j,se,NULL,se,2,0,1,1,ares,0,NULL,0,aconsejares
aconsejar,ar,j,se,NULL,se,3,0,1,1,are,0,NULL,0,aconsejare
aconsejar,ar,j,se,NULL,se,1,1,1,1,áremos,0,NULL,0,aconsejáremos
aconsejar,ar,j,se,NULL,se,2,1,1,1,areis,0,NULL,0,aconsejareis
aconsejar,ar,j,se,NULL,se,3,1,1,1,aren,0,NULL,0,aconsejaren
aconsejar,ar,j,se,NULL,se,0,0,0,2,-,-,-,-,-
aconsejar,ar,j,se,NULL,se,2,0,0,2,a,0,NULL,0,aconseja
aconsejar,ar,j,se,NULL,se,0,0,0,2,e,0,NULL,0,aconseje
aconsejar,ar,j,se,NULL,se,1,1,0,2,emos,0,NULL,0,aconsejemos
aconsejar,ar,j,se,NULL,se,2,1,0,2,ad,0,NULL,0,aconsejad
aconsejar,ar,j,se,NULL,se,0,0,0,2,en,0,NULL,0,aconsejen
afrontar,ar,t,fron,f,ron,1,0,0,0,o,0,NULL,0,afronto
afrontar,ar,t,fron,f,ron,2,0,0,0,as,0,NULL,0,afrontas
afrontar,ar,t,fron,f,ron,3,0,0,0,a,0,NULL,0,afronta
afrontar,ar,t,fron,f,ron,1,1,0,0,amos,0,NULL,0,afrontamos
afrontar,ar,t,fron,f,ron,2,1,0,0,áis,0,NULL,0,afrontáis
afrontar,ar,t,fron,f,ron,3,1,0,0,an,0,NULL,0,afrontan
afrontar,ar,t,fron,f,ron,1,0,1,0,aba,0,NULL,0,afrontaba
afrontar,ar,t,fron,f,ron,2,0,1,0,abas,0,NULL,0,afrontabas
afrontar,ar,t,fron,f,ron,3,0,1,0,aba,0,NULL,0,afrontaba
afrontar,ar,t,fron,f,ron,1,1,1,0,ábamos,0,NULL,0,afrontábamos
afrontar,ar,t,fron,f,ron,2,1,1,0,abais,0,NULL,0,afrontabais
afrontar,ar,t,fron,f,ron,3,1,1,0,aban,0,NULL,0,afrontaban
afrontar,ar,t,fron,f,ron,1,0,2,0,é,0,NULL,0,afronté
afrontar,ar,t,fron,f,ron,2,0,2,0,aste,0,NULL,0,afrontaste
afrontar,ar,t,fron,f,ron,3,0,2,0,ó,0,NULL,0,afrontó
afrontar,ar,t,fron,f,ron,1,1,2,0,amos,0,NULL,0,afrontamos
afrontar,ar,t,fron,f,ron,2,1,2,0,asteis,0,NULL,0,afrontasteis
afrontar,ar,t,fron,f,ron,3,1,2,0,aron,0,NULL,0,afrontaron
afrontar,ar,t,fron,f,ron,1,0,1,0,aré,0,NULL,0,afrontaré
afrontar,ar,t,fron,f,ron,2,0,1,0,arás,0,NULL,0,afrontarás
afrontar,ar,t,fron,f,ron,3,0,1,0,ará,0,NULL,0,afrontará
afrontar,ar,t,fron,f,ron,1,1,1,0,aremos,0,NULL,0,afrontaremos
afrontar,ar,t,fron,f,ron,2,1,1,0,aréis,0,NULL,0,afrontaréis
afrontar,ar,t,fron,f,ron,3,1,1,0,arán,0,NULL,0,afrontarán
afrontar,ar,t,fron,f,ron,1,0,2,0,aría,0,NULL,0,afrontaría
afrontar,ar,t,fron,f,ron,2,0,2,0,arías,0,NULL,0,afrontarías
afrontar,ar,t,fron,f,ron,3,0,2,0,aría,0,NULL,0,afrontaría
afrontar,ar,t,fron,f,ron,1,1,2,0,aríamos,0,NULL,0,afrontaríamos
afrontar,ar,t,fron,f,ron,2,1,2,0,aríais,0,NULL,0,afrontaríais
afrontar,ar,t,fron,f,ron,3,1,2,0,arían,0,NULL,0,afrontarían
afrontar,ar,t,fron,f,ron,1,0,0,1,e,0,NULL,0,afronte
afrontar,ar,t,fron,f,ron,2,0,0,1,es,0,NULL,0,afrontes
afrontar,ar,t,fron,f,ron,3,0,0,1,e,0,NULL,0,afronte
afrontar,ar,t,fron,f,ron,1,1,0,1,emos,0,NULL,0,afrontemos
afrontar,ar,t,fron,f,ron,2,1,0,1,éis,0,NULL,0,afrontéis
afrontar,ar,t,fron,f,ron,3,1,0,1,en,0,NULL,0,afronten
afrontar,ar,t,fron,f,ron,1,0,1,1,ara,0,NULL,0,afrontara
afrontar,ar,t,fron,f,ron,2,0,1,1,aras,0,NULL,0,afrontaras
afrontar,ar,t,fron,f,ron,3,0,1,1,ara,0,NULL,0,afrontara
afrontar,ar,t,fron,f,ron,1,1,1,1,áramos,0,NULL,0,afrontáramos
afrontar,ar,t,fron,f,ron,2,1,1,1,arais,0,NULL,0,afrontarais
afrontar,ar,t,fron,f,ron,3,1,1,1,aran,0,NULL,0,afrontaran
afrontar,ar,t,fron,f,ron,1,0,1,1,are,0,NULL,0,afrontare
afrontar,ar,t,fron,f,ron,2,0,1,1,ares,0,NULL,0,afrontares
afrontar,ar,t,fron,f,ron,3,0,1,1,are,0,NULL,0,afrontare
afrontar,ar,t,fron,f,ron,1,1,1,1,áremos,0,NULL,0,afrontáremos
afrontar,ar,t,fron,f,ron,2,1,1,1,areis,0,NULL,0,afrontareis
afrontar,ar,t,fron,f,ron,3,1,1,1,aren,0,NULL,0,afrontaren
afrontar,ar,t,fron,f,ron,0,0,0,2,-,-,-,-,-
afrontar,ar,t,fron,f,ron,2,0,0,2,a,0,NULL,0,afronta
afrontar,ar,t,fron,f,ron,0,0,0,2,e,0,NULL,0,afronte
afrontar,ar,t,fron,f,ron,1,1,0,2,emos,0,NULL,0,afrontemos
afrontar,ar,t,fron,f,ron,2,1,0,2,ad,0,NULL,0,afrontad
afrontar,ar,t,fron,f,ron,0,0,0,2,en,0,NULL,0,afronten
estar,ar,t,es,NULL,es,1,0,0,0,oy,0,NULL,0,estoy
estar,ar,t,es,NULL,es,2,0,0,0,ás,0,NULL,0,estás
estar,ar,t,es,NULL,es,3,0,0,0,á,0,NULL,0,está
estar,ar,t,es,NULL,es,1,1,0,0,amos,0,NULL,0,estamos
estar,ar,t,es,NULL,es,2,1,0,0,áis,0,NULL,0,estáis
estar,ar,t,es,NULL,es,3,1,0,0,án,0,NULL,0,están
estar,ar,t,es,NULL,es,1,0,1,0,aba,0,NULL,0,estaba
estar,ar,t,es,NULL,es,2,0,1,0,abas,0,NULL,0,estabas
estar,ar,t,es,NULL,es,3,0,1,0,aba,0,NULL,0,estaba
estar,ar,t,es,NULL,es,1,1,1,0,ábamos,0,NULL,0,estábamos
estar,ar,t,es,NULL,es,2,1,1,0,abais,0,NULL,0,estabais
estar,ar,t,es,NULL,es,3,1,1,0,aban,0,NULL,0,estaban
estar,ar,t,es,NULL,es,1,0,2,0,uve,0,NULL,0,estuve
estar,ar,t,es,NULL,es,2,0,2,0,uviste,0,NULL,0,estuviste
estar,ar,t,es,NULL,es,3,0,2,0,uvo,0,NULL,0,estuvo
estar,ar,t,es,NULL,es,1,1,2,0,uvimos,0,NULL,0,estuvimos
estar,ar,t,es,NULL,es,2,1,2,0,uvisteis,0,NULL,0,estuvisteis
estar,ar,t,es,NULL,es,3,1,2,0,uvieron,0,NULL,0,estuvieron
estar,ar,t,es,NULL,es,1,0,1,0,aré,0,NULL,0,estaré
estar,ar,t,es,NULL,es,2,0,1,0,arás,0,NULL,0,estarás
estar,ar,t,es,NULL,es,3,0,1,0,ará,0,NULL,0,estará
estar,ar,t,es,NULL,es,1,1,1,0,aremos,0,NULL,0,estaremos
estar,ar,t,es,NULL,es,2,1,1,0,aréis,0,NULL,0,estaréis
estar,ar,t,es,NULL,es,3,1,1,0,arán,0,NULL,0,estarán
estar,ar,t,es,NULL,es,1,0,2,0,aría,0,NULL,0,estaría
estar,ar,t,es,NULL,es,2,0,2,0,arías,0,NULL,0,estarías
estar,ar,t,es,NULL,es,3,0,2,0,aría,0,NULL,0,estaría
estar,ar,t,es,NULL,es,1,1,2,0,aríamos,0,NULL,0,estaríamos
estar,ar,t,es,NULL,es,2,1,2,0,aríais,0,NULL,0,estaríais
estar,ar,t,es,NULL,es,3,1,2,0,arían,0,NULL,0,estarían
estar,ar,t,es,NULL,es,1,0,0,1,é,0,NULL,0,esté
estar,ar,t,es,NULL,es,2,0,0,1,és,0,NULL,0,estés
estar,ar,t,es,NULL,es,3,0,0,1,é,0,NULL,0,esté
estar,ar,t,es,NULL,es,1,1,0,1,emos,0,NULL,0,estemos
estar,ar,t,es,NULL,es,2,1,0,1,éis,0,NULL,0,estéis
estar,ar,t,es,NULL,es,3,1,0,1,én,0,NULL,0,estén
estar,ar,t,es,NULL,es,1,0,1,1,uviera,0,NULL,0,estuviera
estar,ar,t,es,NULL,es,2,0,1,1,uvieras,0,NULL,0,estuvieras
estar,ar,t,es,NULL,es,3,0,1,1,uviera,0,NULL,0,estuviera
estar,ar,t,es,NULL,es,1,1,1,1,uviéramos,0,NULL,0,estuviéramos
estar,ar,t,es,NULL,es,2,1,1,1,uvierais,0,NULL,0,estuvierais
estar,ar,t,es,NULL,es,3,1,1,1,uvieran,0,NULL,0,estuvieran
estar,ar,t,es,NULL,es,1,0,1,1,uviere,0,NULL,0,estuviere
estar,ar,t,es,NULL,es,2,0,1,1,uvieres,0,NULL,0,estuvieres
estar,ar,t,es,NULL,es,3,0,1,1,uviere,0,NULL,0,estuviere
estar,ar,t,es,NULL,es,1,1,1,1,uviéremos,0,NULL,0,estuviéremos
estar,ar,t,es,NULL,es,2,1,1,1,uviereis,0,NULL,0,estuviereis
estar,ar,t,es,NULL,es,3,1,1,1,uvieren,0,NULL,0,estuvieren
estar,ar,t,es,NULL,es,0,0,0,2,-,-,-,-,-
estar,ar,t,es,NULL,es,2,0,0,2,á,0,NULL,0,está
estar,ar,t,es,NULL,es,0,0,0,2,é,0,NULL,0,esté
estar,ar,t,es,NULL,es,1,1,0,2,emos,0,NULL,0,estemos
estar,ar,t,es,NULL,es,2,1,0,2,ad,0,NULL,0,estad
estar,ar,t,es,NULL,es,0,0,0,2,én,0,NULL,0,estén
alertar,ar,t,ler,l,er,1,0,0,0,o,0,NULL,0,alerto
alertar,ar,t,ler,l,er,2,0,0,0,as,0,NULL,0,alertas
alertar,ar,t,ler,l,er,3,0,0,0,a,0,NULL,0,alerta
alertar,ar,t,ler,l,er,1,1,0,0,amos,0,NULL,0,alertamos
alertar,ar,t,ler,l,er,2,1,0,0,áis,0,NULL,0,alertáis
alertar,ar,t,ler,l,er,3,1,0,0,an,0,NULL,0,alertan
