infinitivo,pensyl,stem,-,tense,mood,class_pensyl,class_suff,conjugacion
admirar,mi,r,nosotros,0,2,0,emos,admiremos
admirar,mi,r,vosotros,0,2,0,ad,admirad
admirar,mi,r,-,0,2,0,en,admiren
admitir,mi,t,yo,0,0,0,o,admito
admitir,mi,t,tu,0,0,0,es,admites
admitir,mi,t,el,0,0,0,e,admite
admitir,mi,t,nosotros,0,0,0,imos,admitimos
admitir,mi,t,vosotros,0,0,0,ís,admitís
admitir,mi,t,ellos,0,0,0,en,admiten
admitir,mi,t,yo,1,0,0,ía,admitía
admitir,mi,t,tu,1,0,0,ías,admitías
admitir,mi,t,el,1,0,0,ía,admitía
admitir,mi,t,nosotros,1,0,0,íamos,admitíamos
admitir,mi,t,vosotros,1,0,0,íais,admitíais
admitir,mi,t,ellos,1,0,0,ían,admitían
admitir,mi,t,yo,2,0,0,í,admití
admitir,mi,t,tu,2,0,0,iste,admitiste
admitir,mi,t,el,2,0,0,ió,admitió
admitir,mi,t,nosotros,2,0,0,imos,admitimos
admitir,mi,t,vosotros,2,0,0,isteis,admitisteis
admitir,mi,t,ellos,2,0,0,ieron,admitieron
admitir,mi,t,yo,3,0,0,iré,admitiré
admitir,mi,t,tu,3,0,0,irás,admitirás
admitir,mi,t,el,3,0,0,irá,admitirá
admitir,mi,t,nosotros,3,0,0,iremos,admitiremos
admitir,mi,t,vosotros,3,0,0,iréis,admitiréis
admitir,mi,t,ellos,3,0,0,irán,admitirán
admitir,mi,t,yo,4,0,0,iría,admitiría
admitir,mi,t,tu,4,0,0,irías,admitirías
admitir,mi,t,el,4,0,0,iría,admitiría
admitir,mi,t,nosotros,4,0,0,iríamos,admitiríamos
admitir,mi,t,vosotros,4,0,0,iríais,admitiríais
admitir,mi,t,ellos,4,0,0,irían,admitirían
admitir,mi,t,yo,0,1,0,a,admita
admitir,mi,t,tu,0,1,0,as,admitas
admitir,mi,t,el,0,1,0,a,admita
admitir,mi,t,nosotros,0,1,0,amos,admitamos
admitir,mi,t,vosotros,0,1,0,áis,admitáis
admitir,mi,t,ellos,0,1,0,an,admitan
admitir,mi,t,yo,1,1,0,iera,admitiera
admitir,mi,t,tu,1,1,0,ieras,admitieras
admitir,mi,t,el,1,1,0,iera,admitiera
admitir,mi,t,nosotros,1,1,0,iéramos,admitiéramos
admitir,mi,t,vosotros,1,1,0,ierais,admitierais
admitir,mi,t,ellos,1,1,0,ieran,admitieran
admitir,mi,t,yo,3,1,0,iere,admitiere
admitir,mi,t,tu,3,1,0,ieres,admitieres
admitir,mi,t,el,3,1,0,iere,admitiere
admitir,mi,t,nosotros,3,1,0,iéremos,admitiéremos
admitir,mi,t,vosotros,3,1,0,iereis,admitiereis
admitir,mi,t,ellos,3,1,0,ieren,admitieren
admitir,mi,t,-,0,2,-,,–
admitir,mi,t,tu,0,2,0,e,admite
admitir,mi,t,-,0,2,0,a,admita
admitir,mi,t,nosotros,0,2,0,amos,admitamos
admitir,mi,t,vosotros,0,2,0,id,admitid
admitir,mi,t,-,0,2,0,an,admitan
aconsejar,se,j,yo,0,0,0,o,aconsejo
aconsejar,se,j,tu,0,0,0,as,aconsejas
aconsejar,se,j,el,0,0,0,a,aconseja
aconsejar,se,j,nosotros,0,0,0,amos,aconsejamos
aconsejar,se,j,vosotros,0,0,0,áis,aconsejáis
aconsejar,se,j,ellos,0,0,0,an,aconsejan
aconsejar,se,j,yo,1,0,0,aba,aconsejaba
aconsejar,se,j,tu,1,0,0,abas,aconsejabas
aconsejar,se,j,el,1,0,0,aba,aconsejaba
aconsejar,se,j,nosotros,1,0,0,ábamos,aconsejábamos
aconsejar,se,j,vosotros,1,0,0,abais,aconsejabais
aconsejar,se,j,ellos,1,0,0,aban,aconsejaban
aconsejar,se,j,yo,2,0,0,é,aconsejé
aconsejar,se,j,tu,2,0,0,aste,aconsejaste
aconsejar,se,j,el,2,0,0,ó,aconsejó
aconsejar,se,j,nosotros,2,0,0,amos,aconsejamos
aconsejar,se,j,vosotros,2,0,0,asteis,aconsejasteis
aconsejar,se,j,ellos,2,0,0,aron,aconsejaron
aconsejar,se,j,yo,3,0,0,aré,aconsejaré
aconsejar,se,j,tu,3,0,0,arás,aconsejarás
aconsejar,se,j,el,3,0,0,ará,aconsejará
aconsejar,se,j,nosotros,3,0,0,aremos,aconsejaremos
aconsejar,se,j,vosotros,3,0,0,aréis,aconsejaréis
aconsejar,se,j,ellos,3,0,0,arán,aconsejarán
aconsejar,se,j,yo,4,0,0,aría,aconsejaría
aconsejar,se,j,tu,4,0,0,arías,aconsejarías
aconsejar,se,j,el,4,0,0,aría,aconsejaría
aconsejar,se,j,nosotros,4,0,0,aríamos,aconsejaríamos
aconsejar,se,j,vosotros,4,0,0,aríais,aconsejaríais
aconsejar,se,j,ellos,4,0,0,arían,aconsejarían
aconsejar,se,j,yo,0,1,0,e,aconseje
aconsejar,se,j,tu,0,1,0,es,aconsejes
aconsejar,se,j,el,0,1,0,e,aconseje
aconsejar,se,j,nosotros,0,1,0,emos,aconsejemos
aconsejar,se,j,vosotros,0,1,0,éis,aconsejéis
aconsejar,se,j,ellos,0,1,0,en,aconsejen
aconsejar,se,j,yo,1,1,0,ara,aconsejara
aconsejar,se,j,tu,1,1,0,aras,aconsejaras
aconsejar,se,j,el,1,1,0,ara,aconsejara
aconsejar,se,j,nosotros,1,1,0,áramos,aconsejáramos
aconsejar,se,j,vosotros,1,1,0,arais,aconsejarais
aconsejar,se,j,ellos,1,1,0,aran,aconsejaran
aconsejar,se,j,yo,3,1,0,are,aconsejare
aconsejar,se,j,tu,3,1,0,ares,aconsejares
aconsejar,se,j,el,3,1,0,are,aconsejare
aconsejar,se,j,nosotros,3,1,0,áremos,aconsejáremos
aconsejar,se,j,vosotros,3,1,0,areis,aconsejareis
aconsejar,se,j,ellos,3,1,0,aren,aconsejaren
aconsejar,se,j,-,0,2,-,,–
aconsejar,se,j,tu,0,2,0,a,aconseja
aconsejar,se,j,-,0,2,0,e,aconseje
aconsejar,se,j,nosotros,0,2,0,emos,aconsejemos
aconsejar,se,j,vosotros,0,2,0,ad,aconsejad
aconsejar,se,j,-,0,2,0,en,aconsejen
afrontar,fron,t,yo,0,0,0,o,afronto
afrontar,fron,t,tu,0,0,0,as,afrontas
afrontar,fron,t,el,0,0,0,a,afronta
afrontar,fron,t,nosotros,0,0,0,amos,afrontamos
afrontar,fron,t,vosotros,0,0,0,áis,afrontáis
afrontar,fron,t,ellos,0,0,0,an,afrontan
afrontar,fron,t,yo,1,0,0,aba,afrontaba
afrontar,fron,t,tu,1,0,0,abas,afrontabas
afrontar,fron,t,el,1,0,0,aba,afrontaba
afrontar,fron,t,nosotros,1,0,0,ábamos,afrontábamos
afrontar,fron,t,vosotros,1,0,0,abais,afrontabais
afrontar,fron,t,ellos,1,0,0,aban,afrontaban
afrontar,fron,t,yo,2,0,0,é,afronté
afrontar,fron,t,tu,2,0,0,aste,afrontaste
afrontar,fron,t,el,2,0,0,ó,afrontó
afrontar,fron,t,nosotros,2,0,0,amos,afrontamos
afrontar,fron,t,vosotros,2,0,0,asteis,afrontasteis
afrontar,fron,t,ellos,2,0,0,aron,afrontaron
afrontar,fron,t,yo,3,0,0,aré,afrontaré
afrontar,fron,t,tu,3,0,0,arás,afrontarás
afrontar,fron,t,el,3,0,0,ará,afrontará
afrontar,fron,t,nosotros,3,0,0,aremos,afrontaremos
afrontar,fron,t,vosotros,3,0,0,aréis,afrontaréis
afrontar,fron,t,ellos,3,0,0,arán,afrontarán
afrontar,fron,t,yo,4,0,0,aría,afrontaría
afrontar,fron,t,tu,4,0,0,arías,afrontarías
afrontar,fron,t,el,4,0,0,aría,afrontaría
afrontar,fron,t,nosotros,4,0,0,aríamos,afrontaríamos
afrontar,fron,t,vosotros,4,0,0,aríais,afrontaríais
afrontar,fron,t,ellos,4,0,0,arían,afrontarían
afrontar,fron,t,yo,0,1,0,e,afronte
afrontar,fron,t,tu,0,1,0,es,afrontes
afrontar,fron,t,el,0,1,0,e,afronte
afrontar,fron,t,nosotros,0,1,0,emos,afrontemos
afrontar,fron,t,vosotros,0,1,0,éis,afrontéis
afrontar,fron,t,ellos,0,1,0,en,afronten
afrontar,fron,t,yo,1,1,0,ara,afrontara
afrontar,fron,t,tu,1,1,0,aras,afrontaras
afrontar,fron,t,el,1,1,0,ara,afrontara
afrontar,fron,t,nosotros,1,1,0,áramos,afrontáramos
afrontar,fron,t,vosotros,1,1,0,arais,afrontarais
afrontar,fron,t,ellos,1,1,0,aran,afrontaran
afrontar,fron,t,yo,3,1,0,are,afrontare
afrontar,fron,t,tu,3,1,0,ares,afrontares
afrontar,fron,t,el,3,1,0,are,afrontare
afrontar,fron,t,nosotros,3,1,0,áremos,afrontáremos
afrontar,fron,t,vosotros,3,1,0,areis,afrontareis
afrontar,fron,t,ellos,3,1,0,aren,afrontaren
afrontar,fron,t,-,0,2,-,,–
afrontar,fron,t,tu,0,2,0,a,afronta
afrontar,fron,t,-,0,2,0,e,afronte
afrontar,fron,t,nosotros,0,2,0,emos,afrontemos
afrontar,fron,t,vosotros,0,2,0,ad,afrontad
afrontar,fron,t,-,0,2,0,en,afronten
estar,es,t,yo,0,0,0,oy,estoy
estar,es,t,tu,0,0,0,ás,estás
estar,es,t,el,0,0,0,á,está
estar,es,t,nosotros,0,0,0,amos,estamos
estar,es,t,vosotros,0,0,0,áis,estáis
estar,es,t,ellos,0,0,0,án,están
estar,es,t,yo,1,0,0,aba,estaba
estar,es,t,tu,1,0,0,abas,estabas
estar,es,t,el,1,0,0,aba,estaba
estar,es,t,nosotros,1,0,0,ábamos,estábamos
estar,es,t,vosotros,1,0,0,abais,estabais
estar,es,t,ellos,1,0,0,aban,estaban
estar,es,t,yo,2,0,0,uve,estuve
estar,es,t,tu,2,0,0,uviste,estuviste
estar,es,t,el,2,0,0,uvo,estuvo
estar,es,t,nosotros,2,0,0,uvimos,estuvimos
estar,es,t,vosotros,2,0,0,uvisteis,estuvisteis
estar,es,t,ellos,2,0,0,uvieron,estuvieron
estar,es,t,yo,3,0,0,aré,estaré
estar,es,t,tu,3,0,0,arás,estarás
estar,es,t,el,3,0,0,ará,estará
estar,es,t,nosotros,3,0,0,aremos,estaremos
estar,es,t,vosotros,3,0,0,aréis,estaréis
estar,es,t,ellos,3,0,0,arán,estarán
estar,es,t,yo,4,0,0,aría,estaría
estar,es,t,tu,4,0,0,arías,estarías
estar,es,t,el,4,0,0,aría,estaría
estar,es,t,nosotros,4,0,0,aríamos,estaríamos
estar,es,t,vosotros,4,0,0,aríais,estaríais
estar,es,t,ellos,4,0,0,arían,estarían
estar,es,t,yo,0,1,0,é,esté
estar,es,t,tu,0,1,0,és,estés
estar,es,t,el,0,1,0,é,esté
estar,es,t,nosotros,0,1,0,emos,estemos
estar,es,t,vosotros,0,1,0,éis,estéis
estar,es,t,ellos,0,1,0,én,estén
estar,es,t,yo,1,1,0,uviera,estuviera
estar,es,t,tu,1,1,0,uvieras,estuvieras
estar,es,t,el,1,1,0,uviera,estuviera
estar,es,t,nosotros,1,1,0,uviéramos,estuviéramos
estar,es,t,vosotros,1,1,0,uvierais,estuvierais
estar,es,t,ellos,1,1,0,uvieran,estuvieran
estar,es,t,yo,3,1,0,uviere,estuviere
estar,es,t,tu,3,1,0,uvieres,estuvieres
estar,es,t,el,3,1,0,uviere,estuviere
estar,es,t,nosotros,3,1,0,uviéremos,estuviéremos
estar,es,t,vosotros,3,1,0,uviereis,estuviereis
estar,es,t,ellos,3,1,0,uvieren,estuvieren
estar,es,t,-,0,2,–,,–
estar,es,t,tu,0,2,0,á,está
estar,es,t,-,0,2,0,é,esté
estar,es,t,nosotros,0,2,0,emos,estemos
estar,es,t,vosotros,0,2,0,ad,estad
estar,es,t,-,0,2,0,én,estén
alertar,ler,t,yo,0,0,0,o,alerto
alertar,ler,t,tu,0,0,0,as,alertas
alertar,ler,t,el,0,0,0,a,alerta
alertar,ler,t,nosotros,0,0,0,amos,alertamos
alertar,ler,t,vosotros,0,0,0,áis,alertáis
alertar,ler,t,ellos,0,0,0,an,alertan
alertar,ler,t,yo,1,0,0,aba,alertaba
alertar,ler,t,tu,1,0,0,abas,alertabas
alertar,ler,t,el,1,0,0,aba,alertaba
alertar,ler,t,nosotros,1,0,0,ábamos,alertábamos
alertar,ler,t,vosotros,1,0,0,abais,alertabais
alertar,ler,t,ellos,1,0,0,aban,alertaban
alertar,ler,t,yo,2,0,0,é,alerté
alertar,ler,t,tu,2,0,0,aste,alertaste
alertar,ler,t,el,2,0,0,ó,alertó
alertar,ler,t,nosotros,2,0,0,amos,alertamos
alertar,ler,t,vosotros,2,0,0,asteis,alertasteis
alertar,ler,t,ellos,2,0,0,aron,alertaron
alertar,ler,t,yo,3,0,0,aré,alertaré
alertar,ler,t,tu,3,0,0,arás,alertarás
alertar,ler,t,el,3,0,0,ará,alertará
alertar,ler,t,nosotros,3,0,0,aremos,alertaremos
alertar,ler,t,vosotros,3,0,0,aréis,alertaréis
alertar,ler,t,ellos,3,0,0,arán,alertarán
alertar,ler,t,yo,4,0,0,aría,alertaría
alertar,ler,t,tu,4,0,0,arías,alertarías
alertar,ler,t,el,4,0,0,aría,alertaría
alertar,ler,t,nosotros,4,0,0,aríamos,alertaríamos
alertar,ler,t,vosotros,4,0,0,aríais,alertaríais
alertar,ler,t,ellos,4,0,0,arían,alertarían
alertar,ler,t,yo,0,1,0,e,alerte
alertar,ler,t,tu,0,1,0,es,alertes
alertar,ler,t,el,0,1,0,e,alerte
alertar,ler,t,nosotros,0,1,0,emos,alertemos
alertar,ler,t,vosotros,0,1,0,éis,alertéis
alertar,ler,t,ellos,0,1,0,en,alerten
alertar,ler,t,yo,1,1,0,ara,alertara
alertar,ler,t,tu,1,1,0,aras,alertaras
alertar,ler,t,el,1,1,0,ara,alertara
alertar,ler,t,nosotros,1,1,0,áramos,alertáramos
alertar,ler,t,vosotros,1,1,0,arais,alertarais
alertar,ler,t,ellos,1,1,0,aran,alertaran
alertar,ler,t,yo,3,1,0,are,alertare
alertar,ler,t,tu,3,1,0,ares,alertares
alertar,ler,t,el,3,1,0,are,alertare
alertar,ler,t,nosotros,3,1,0,áremos,alertáremos
alertar,ler,t,vosotros,3,1,0,areis,alertareis
alertar,ler,t,ellos,3,1,0,aren,alertaren
alertar,ler,t,-,0,2,-,,–
alertar,ler,t,tu,0,2,0,a,alerta
alertar,ler,t,-,0,2,0,e,alerte
alertar,ler,t,nosotros,0,2,0,emos,alertemos
alertar,ler,t,vosotros,0,2,0,ad,alertad
alertar,ler,t,-,0,2,0,en,alerten
permitir,mi,t,yo,0,0,0,o,permito
permitir,mi,t,tu,0,0,0,es,permites
permitir,mi,t,el,0,0,0,e,permite
permitir,mi,t,nosotros,0,0,0,imos,permitimos
permitir,mi,t,vosotros,0,0,0,ís,permitís
permitir,mi,t,ellos,0,0,0,en,permiten
permitir,mi,t,yo,1,0,0,ía,permitía
permitir,mi,t,tu,1,0,0,ías,permitías
permitir,mi,t,el,1,0,0,ía,permitía
permitir,mi,t,nosotros,1,0,0,íamos,permitíamos
permitir,mi,t,vosotros,1,0,0,íais,permitíais
permitir,mi,t,ellos,1,0,0,ían,permitían
permitir,mi,t,yo,2,0,0,í,permití
permitir,mi,t,tu,2,0,0,iste,permitiste
permitir,mi,t,el,2,0,0,ió,permitió
permitir,mi,t,nosotros,2,0,0,imos,permitimos
permitir,mi,t,vosotros,2,0,0,isteis,permitisteis
permitir,mi,t,ellos,2,0,0,ieron,permitieron
permitir,mi,t,yo,3,0,0,iré,permitiré
permitir,mi,t,tu,3,0,0,irás,permitirás
permitir,mi,t,el,3,0,0,irá,permitirá
permitir,mi,t,nosotros,3,0,0,iremos,permitiremos
permitir,mi,t,vosotros,3,0,0,iréis,permitiréis
permitir,mi,t,ellos,3,0,0,irán,permitirán
permitir,mi,t,yo,4,0,0,iría,permitiría
permitir,mi,t,tu,4,0,0,irías,permitirías
permitir,mi,t,el,4,0,0,iría,permitiría
permitir,mi,t,nosotros,4,0,0,iríamos,permitiríamos
permitir,mi,t,vosotros,4,0,0,iríais,permitiríais
permitir,mi,t,ellos,4,0,0,irían,permitirían
permitir,mi,t,yo,0,1,0,a,permita
permitir,mi,t,tu,0,1,0,as,permitas
permitir,mi,t,el,0,1,0,a,permita
permitir,mi,t,nosotros,0,1,0,amos,permitamos
permitir,mi,t,vosotros,0,1,0,áis,permitáis
permitir,mi,t,ellos,0,1,0,an,permitan
permitir,mi,t,yo,1,1,0,iera,permitiera
permitir,mi,t,tu,1,1,0,ieras,permitieras
permitir,mi,t,el,1,1,0,iera,permitiera
permitir,mi,t,nosotros,1,1,0,iéramos,permitiéramos
permitir,mi,t,vosotros,1,1,0,ierais,permitierais
permitir,mi,t,ellos,1,1,0,ieran,permitieran
permitir,mi,t,yo,3,1,0,iere,permitiere
permitir,mi,t,tu,3,1,0,ieres,permitieres
permitir,mi,t,el,3,1,0,iere,permitiere
permitir,mi,t,nosotros,3,1,0,iéremos,permitiéremos
permitir,mi,t,vosotros,3,1,0,iereis,permitiereis
permitir,mi,t,ellos,3,1,0,ieren,permitieren
permitir,mi,t,-,0,2,-,,–
permitir,mi,t,tu,0,2,0,e,permite
permitir,mi,t,-,0,2,0,a,permita
permitir,mi,t,nosotros,0,2,0,amos,permitamos
permitir,mi,t,vosotros,0,2,0,id,permitid
permitir,mi,t,-,0,2,0,an,permitan
entretener,te,n,yo,0,0,ten,go,entretengo
entretener,te,n,tu,0,0,tie,es,entretienes
entretener,te,n,el,0,0,tie,e,entretiene
entretener,te,n,nosotros,0,0,0,emos,entretenemos
entretener,te,n,vosotros,0,0,0,éis,entretenéis
entretener,te,n,ellos,0,0,tie,en,entretienen
entretener,te,n,yo,1,0,0,ía,entretenía
entretener,te,n,tu,1,0,0,ías,entretenías
entretener,te,n,el,1,0,0,ía,entretenía
entretener,te,n,nosotros,1,0,0,íamos,entreteníamos
entretener,te,n,vosotros,1,0,0,íais,entreteníais
entretener,te,n,ellos,1,0,0,ían,entretenían
entretener,te,n,yo,2,0,tu,ve,entretuve
entretener,te,n,tu,2,0,tu,viste,entretuviste
entretener,te,n,el,2,0,tu,vo,entretuvo
entretener,te,n,nosotros,2,0,tu,vimos,entretuvimos
entretener,te,n,vosotros,2,0,tu,visteis,entretuvisteis
entretener,te,n,ellos,2,0,tu,vieron,entretuvieron
entretener,te,n,yo,3,0,ten,dré,entretendré
entretener,te,n,tu,3,0,ten,drás,entretendrás
entretener,te,n,el,3,0,ten,drá,entretendrá
entretener,te,n,nosotros,3,0,ten,dremos,entretendremos
entretener,te,n,vosotros,3,0,ten,dréis,entretendréis
entretener,te,n,ellos,3,0,ten,drán,entretendrán
entretener,te,n,yo,4,0,ten,dría,entretendría
entretener,te,n,tu,4,0,ten,drías,entretendrías
entretener,te,n,el,4,0,ten,dría,entretendría
entretener,te,n,nosotros,4,0,ten,dríamos,entretendríamos
entretener,te,n,vosotros,4,0,ten,dríais,entretendríais
entretener,te,n,ellos,4,0,ten,drían,entretendrían
entretener,te,n,yo,0,1,ten,ga,entretenga
entretener,te,n,tu,0,1,ten,gas,entretengas
entretener,te,n,el,0,1,ten,ga,entretenga
entretener,te,n,nosotros,0,1,ten,gamos,entretengamos
entretener,te,n,vosotros,0,1,ten,gáis,entretengáis
entretener,te,n,ellos,0,1,ten,gan,entretengan
entretener,te,n,yo,1,1,tu,viera,entretuviera
entretener,te,n,tu,1,1,tu,vieras,entretuvieras
entretener,te,n,el,1,1,tu,viera,entretuviera
entretener,te,n,nosotros,1,1,tu,viéramos,entretuviéramos
entretener,te,n,vosotros,1,1,tu,vierais,entretuvierais
entretener,te,n,ellos,1,1,tu,vieran,entretuvieran
entretener,te,n,yo,3,1,tu,viere,entretuviere
entretener,te,n,tu,3,1,tu,vieres,entretuvieres
entretener,te,n,el,3,1,tu,viere,entretuviere
entretener,te,n,nosotros,3,1,tu,viéremos,entretuviéremos
entretener,te,n,vosotros,3,1,tu,viereis,entretuviereis
entretener,te,n,ellos,3,1,tu,vieren,entretuvieren
entretener,te,n,-,0,2,-,,–
entretener,te,n,tu,0,2,tén,,entretén
entretener,te,n,-,0,2,ten,ga,entretenga
entretener,te,n,nosotros,0,2,ten,gamos,entretengamos
entretener,te,n,vosotros,0,2,0,ed,entretened
entretener,te,n,-,0,2,ten,gan,entretengan
analizar,li,z,yo,0,0,0,o,analizo
analizar,li,z,tu,0,0,0,as,analizas
analizar,li,z,el,0,0,0,a,analiza
analizar,li,z,nosotros,0,0,0,amos,analizamos
analizar,li,z,vosotros,0,0,0,áis,analizáis
analizar,li,z,ellos,0,0,0,an,analizan
analizar,li,z,yo,1,0,0,aba,analizaba
analizar,li,z,tu,1,0,0,abas,analizabas
analizar,li,z,el,1,0,0,aba,analizaba
analizar,li,z,nosotros,1,0,0,ábamos,analizábamos
analizar,li,z,vosotros,1,0,0,abais,analizabais
analizar,li,z,ellos,1,0,0,aban,analizaban
analizar,li,z,yo,2,0,0,cé,analicé
analizar,li,z,tu,2,0,0,aste,analizaste
analizar,li,z,el,2,0,0,ó,analizó
analizar,li,z,nosotros,2,0,0,amos,analizamos
analizar,li,z,vosotros,2,0,0,asteis,analizasteis
analizar,li,z,ellos,2,0,0,aron,analizaron
analizar,li,z,yo,3,0,0,aré,analizaré
analizar,li,z,tu,3,0,0,arás,analizarás
analizar,li,z,el,3,0,0,ará,analizará
analizar,li,z,nosotros,3,0,0,aremos,analizaremos
analizar,li,z,vosotros,3,0,0,aréis,analizaréis
analizar,li,z,ellos,3,0,0,arán,analizarán
analizar,li,z,yo,4,0,0,aría,analizaría
analizar,li,z,tu,4,0,0,arías,analizarías
analizar,li,z,el,4,0,0,aría,analizaría
analizar,li,z,nosotros,4,0,0,aríamos,analizaríamos
analizar,li,z,vosotros,4,0,0,aríais,analizaríais
analizar,li,z,ellos,4,0,0,arían,analizarían
analizar,li,z,yo,0,1,0,ce,analice
analizar,li,z,tu,0,1,0,ces,analices
analizar,li,z,el,0,1,0,ce,analice
analizar,li,z,nosotros,0,1,0,cemos,analicemos
analizar,li,z,vosotros,0,1,0,céis,analicéis
analizar,li,z,ellos,0,1,0,cen,analicen
